Devices
1000
,,Imported AMTI OR6 Series Force Plate - CoP,,,Imported AMTI OR6 Series Force Plate - CoP,,,Imported AMTI OR6 Series Force Plate - Force (Reaction),,,Imported AMTI OR6 Series Force Plate - Force (Reaction),,,Imported AMTI OR6 Series Force Plate - Moment (Reaction),,,Imported AMTI OR6 Series Force Plate - Moment (Reaction),,,
Frame,Sub Frame,Cx,Cy,Cz,Cx,Cy,Cz,Fx,Fy,Fz,Fx,Fy,Fz,Mx,My,Mz,Mx,My,Mz
,,mm,mm,mm,mm,mm,mm,N,N,N,N,N,N,mm.N,mm.N,mm.N,mm.N,mm.N,mm.N
17,5,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
17,6,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
17,7,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
17,8,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
17,9,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
18,0,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
18,1,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
18,2,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
18,3,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
18,4,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
18,5,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
18,6,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
18,7,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
18,8,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
18,9,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
19,0,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
19,1,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
19,2,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
19,3,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
19,4,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
19,5,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
19,6,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
19,7,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
19,8,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
19,9,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
20,0,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
20,1,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
20,2,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
20,3,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
20,4,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
20,5,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
20,6,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
20,7,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
20,8,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
20,9,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
21,0,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
21,1,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
21,2,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
21,3,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
21,4,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
21,5,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
21,6,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
21,7,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
21,8,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
21,9,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
22,0,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
22,1,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
22,2,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
22,3,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
22,4,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
22,5,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
22,6,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
22,7,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
22,8,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
22,9,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
23,0,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
23,1,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
23,2,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
23,3,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
23,4,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
23,5,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
23,6,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
23,7,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
23,8,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
23,9,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
24,0,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
