Devices
1000
,,Imported AMTI OR6 Series Force Plate - CoP,,,Imported AMTI OR6 Series Force Plate - CoP,,,Imported AMTI OR6 Series Force Plate - Force (Reaction),,,Imported AMTI OR6 Series Force Plate - Force (Reaction),,,Imported AMTI OR6 Series Force Plate - Moment (Reaction),,,Imported AMTI OR6 Series Force Plate - Moment (Reaction),,,
Frame,Sub Frame,Cx,Cy,Cz,Cx,Cy,Cz,Fx,Fy,Fz,Fx,Fy,Fz,Mx,My,Mz,Mx,My,Mz
,,mm,mm,mm,mm,mm,mm,N,N,N,N,N,N,mm.N,mm.N,mm.N,mm.N,mm.N,mm.N
12,4,293.804,371.248,0,283.453,754.169,0,-6.29676,28.9158,327.642,5.30531,-34.1408,308.288,41036.5,-7471.45,-1583.28,-45266.2,-3839.21,3528.59
12,5,293.856,370.999,0,284.005,754.871,0,-6.07481,28.7539,328.163,5.26063,-33.5476,310.029,41020.1,-7500.56,-1663.89,-45304.3,-4031.78,3502.33
12,6,294.044,370.857,0,283.785,754.592,0,-5.42885,28.7501,328.689,5.50771,-33.8315,308.632,41039.1,-7574.16,-1584.11,-45186.2,-3945.7,3538.35
12,7,293.582,371.754,0,283.271,754.322,0,-6.81403,29.0236,328.344,5.5315,-33.6487,308.195,41290.6,-7414.54,-1573.13,-45205.3,-3781.73,3534.11
12,8,294.013,372.187,0,283.772,753.197,0,-6.25898,28.7472,329.484,5.08855,-33.6864,308.112,41576.6,-7582.54,-1528.97,-45539.9,-3935.12,3554.81
12,9,292.979,371.165,0,283.504,754.806,0,-6.34834,28.4028,328.079,5.35309,-33.0929,308.801,41064,-7210.83,-1528.15,-45145,-3861.29,3486
13,0,293.755,370.957,0,284.64,754.581,0,-6.47765,29.0208,328.515,5.26326,-33.7211,309.067,41050.4,-7475.44,-1609.98,-45253.2,-4215.66,3542.61
13,1,294.017,370.648,0,283.968,754.393,0,-6.34417,28.9043,329.216,5.23976,-33.8065,308.544,41036,-7577.55,-1592.96,-45234.8,-4001.22,3506.86
13,2,293.698,371.195,0,284.22,754.66,0,-6.3233,29.1535,328.78,5.24166,-33.4499,308.541,41161.5,-7462.57,-1542.61,-45151.8,-4078.93,3530.14
13,3,293.828,370.713,0,283.982,752.032,0,-6.45551,28.7961,328.777,5.18903,-33.4836,304.089,41002.9,-7505.42,-1614.9,-45299.4,-3947.7,3681.76
13,4,293.339,371.003,0,283.557,754.739,0,-6.23884,28.8352,329.563,5.12517,-33.6571,309.77,41196.4,-7362,-1604.4,-45307.4,-3889.78,3484.3
13,5,293.734,370.884,0,283.409,754.397,0,-6.65749,29.0636,328.955,5.21588,-33.7868,309.073,41081.1,-7478.47,-1565.29,-45311.1,-3835.4,3506.5
13,6,293.637,370.951,0,283.576,754.874,0,-6.25689,29.1291,328.952,4.97045,-33.4742,308.722,41102.8,-7446.32,-1587.28,-45112.2,-3882.46,3530.3
13,7,293.696,371.681,0,283.782,754.781,0,-6.94798,28.7765,328.607,5.37182,-33.8787,308.983,41299.8,-7457.9,-1595.81,-45179.2,-3949.38,3524.87
13,8,294.717,370.88,0,283.837,754.191,0,-6.29483,28.5503,328.871,5.04107,-33.3578,308.719,41069.4,-7799.65,-1554.42,-45322.8,-3962.87,3507.11
13,9,293.951,370.992,0,283.935,755.193,0,-5.27171,28.9315,328.163,4.72327,-33.5402,308.283,41017.6,-7531.51,-1597.17,-44949.9,-3987.67,3508.64
